sid,indent,validity_start_date
27623,0,1971-12-31
27624,0,1972-01-01
27625,1,1972-01-01
27626,2,1972-01-01
27627,2,1972-01-01
27628,3,1972-01-01
27629,3,1972-01-01
27630,1,1972-01-01
27631,2,1972-01-01
27632,2,1972-01-01
27633,0,1972-01-01
27634,1,1972-01-01
27635,2,1993-01-01
27636,2,1993-01-01
27637,2,1993-01-01
27638,1,1972-01-01
27639,2,1993-01-01
27640,3,1993-01-01
27641,4,1993-01-01
27642,4,1993-01-01
27643,4,1993-01-01
27644,4,1993-01-01
27645,4,1993-01-01
27646,4,1993-01-01
27647,2,1972-01-01
27648,3,1972-01-01
27649,4,1972-01-01
27650,4,1992-03-01
27651,5,1992-03-01
27652,5,1992-03-01
27653,4,1972-01-01
27654,4,1972-01-01
27655,4,1972-01-01
27656,4,1972-01-01
27657,4,1972-01-01
27658,4,1992-03-01
27659,5,1992-03-01
27660,5,1992-03-01
27661,3,1993-01-01
27662,4,1993-01-01
27663,4,1993-01-01
27664,5,1993-01-01
27665,5,1993-01-01
27666,5,1993-01-01
27667,5,1993-01-01
27668,5,1993-01-01
27669,5,1993-01-01
27670,3,1972-01-01
27671,4,1972-01-01
27672,5,1972-01-01
27673,6,1972-01-01
27674,6,1972-01-01
27675,5,1972-01-01
27676,6,1972-01-01
27677,6,1972-01-01
27678,5,1972-01-01
27679,6,1972-01-01
27680,6,1972-01-01
27681,5,1972-01-01
27682,6,1972-01-01
27683,6,1992-03-01
27684,7,1992-03-01
27685,7,1992-03-01
27686,6,1972-01-01
27687,4,1972-01-01
27688,5,1972-01-01
27689,5,1972-01-01
27690,5,1972-01-01
27691,5,1972-01-01
27692,5,1992-03-01
27693,6,1992-03-01
27694,6,1992-03-01
27695,4,1972-01-01
27696,5,1972-01-01
27697,5,1972-01-01
27698,6,1972-01-01
27699,6,1972-01-01
27700,5,1972-01-01
27701,6,1972-01-01
27702,6,1992-03-01
27703,7,1992-03-01
27704,7,1992-03-01
27705,6,1972-01-01
27706,4,1972-01-01
27707,5,1972-01-01
27708,5,1972-01-01
27709,6,1972-01-01
27710,6,1992-03-01
27711,7,1992-03-01
27712,7,1992-03-01
27713,6,1972-01-01
27714,3,1993-01-01
27715,4,1993-01-01
27716,4,1993-01-01
27717,5,1993-01-01
27718,5,1993-01-01
27719,5,1993-01-01
27720,5,1993-01-01
27721,5,1993-01-01
27722,5,1993-01-01
27723,6,1993-01-01
27724,6,1993-01-01
27725,3,1993-01-01
27726,4,1993-01-01
27727,5,1993-01-01
27728,6,1993-01-01
27729,6,1993-01-01
27730,5,1993-01-01
27731,6,1993-01-01
27732,7,1993-01-01
27733,7,1993-01-01
27734,6,1993-01-01
27735,7,1993-01-01
27736,7,1993-01-01
27737,6,1993-01-01
27738,7,1993-01-01
