sid,commodity_code,suffix,description,validity_start_date,validity_end_date,parent_sid,parent_code
27623,0100000000,80,LIVE ANIMALS,1971-12-31,,,
27624,0101000000,80,"Live horses, asses, mules and hinnies",1972-01-01,,27623,0100000000
93797,0101210000,10,Horses,2012-01-01,,27624,0101000000
93796,0101210000,80,Pure-bred breeding animals,2012-01-01,,93797,0101210000
93798,0101290000,80,Other,2012-01-01,,93797,0101210000
93799,0101291000,80,For slaughter,2012-01-01,,93798,0101290000
93800,0101299000,80,Other,2012-01-01,,93798,0101290000
93801,0101300000,80,Asses,2012-01-01,,27624,0101000000
72763,0101900000,80,Other,2002-01-01,,27624,0101000000
27633,0102000000,80,Live bovine animals,1972-01-01,,27623,0100000000
94053,0102210000,10,Cattle,2012-01-01,,27633,0102000000
94047,0102210000,80,Pure-bred breeding animals,2012-01-01,,94053,0102210000
94048,0102211000,80,Heifers (female bovines that have never calved),2012-01-01,,94047,0102210000
94049,0102213000,80,Cows,2012-01-01,,94047,0102210000
94050,0102219000,80,Other,2012-01-01,,94047,0102210000
94056,0102290000,80,Other,2012-01-01,,94053,0102210000
96756,0102290500,80,Of the sub-genus Bibos or of the sub-genus Poephagus,2013-01-01,,94056,0102290000
96757,0102291000,10,Other,2013-01-01,,94056,0102290000
94057,0102291000,80,Of a weight not exceeding 80 kg,2012-01-01,,96757,0102291000
94058,0102291010,80,"Young male bovine animals, intended for fattening",2012-01-01,,94057,0102291000
94059,0102291020,80,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed, other than for slaughter",2012-01-01,,94057,0102291000
94060,0102291030,80,"Heifers of the Schwyz and Fribourg breeds, other than for slaughter",2012-01-01,,94057,0102291000
94061,0102291040,80,"Heifers of the spotted Simmental breed, other than for slaughter",2012-01-01,,94057,0102291000
94062,0102291050,80,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds, other than for slaughter",2012-01-01,,94057,0102291000
94063,0102291090,80,Other,2012-01-01,,94057,0102291000
94064,0102292100,10,Of a weight exceeding 80 kg but not exceeding 160 kg,2012-01-01,,96757,0102291000
94065,0102292100,80,For slaughter,2012-01-01,,94064,0102292100
94066,0102292900,80,Other,2012-01-01,,94064,0102292100
94067,0102292910,80,"Young male bovine animals, intended for fattening",2012-01-01,,94066,0102292900
94068,0102292920,80,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",2012-01-01,,94066,0102292900
94069,0102292930,80,Heifers of the Schwyz and Fribourg breeds,2012-01-01,,94066,0102292900
94070,0102292940,80,Heifers of the spotted Simmental breed,2012-01-01,,94066,0102292900
94071,0102292950,80,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds",2012-01-01,,94066,0102292900
94072,0102292990,80,Other,2012-01-01,,94066,0102292900
94073,0102294100,10,Of a weight exceeding 160 kg but not exceeding 300 kg,2012-01-01,,96757,0102291000
94074,0102294100,80,For slaughter,2012-01-01,,94073,0102294100
94075,0102294900,80,Other,2012-01-01,,94073,0102294100
94076,0102294910,80,"Young male bovine animals, intended for fattening",2012-01-01,,94075,0102294900
94077,0102294920,80,"Heifers and cows of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",2012-01-01,,94075,0102294900
94078,0102294930,80,Heifers and cows of the Schwyz and Fribourg breeds,2012-01-01,,94075,0102294900
94079,0102294940,80,Heifers and cows of the spotted Simmental breed,2012-01-01,,94075,0102294900
94080,0102294950,80,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds",2012-01-01,,94075,0102294900
94081,0102294990,80,Other,2012-01-01,,94075,0102294900
94082,0102295100,10,Of a weight exceeding 300 kg,2012-01-01,,96757,0102291000
94083,0102295100,20,Heifers (female bovines that have never calved),2012-01-01,,94082,0102295100
94084,0102295100,80,For slaughter,2012-01-01,,94083,0102295100
94085,0102295110,80,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",2012-01-01,,94084,0102295100
94086,0102295190,80,Other,2012-01-01,,94084,0102295100
94087,0102295900,80,Other,2012-01-01,,94083,0102295100
94088,0102295911,10,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",2012-01-01,,94087,0102295900
94089,0102295911,80,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",2012-01-01,,94088,0102295911
94090,0102295919,80,Other,2012-01-01,,94088,0102295911
94091,0102295921,10,Of the Schwyz and Fribourg breeds,2012-01-01,,94087,0102295900
94092,0102295921,80,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",2012-01-01,,94091,0102295921
94093,0102295929,80,Other,2012-01-01,,94091,0102295921
94094,0102295931,10,Of the spotted Simmental breed,2012-01-01,,94087,0102295900
94095,0102295931,80,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",2012-01-01,,94094,0102295931
94096,0102295939,80,Other,2012-01-01,,94094,0102295931
94097,0102295991,10,Other,2012-01-01,,94087,0102295900
94098,0102295991,80,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",2012-01-01,,94097,0102295991
94099,0102295999,80,Other,2012-01-01,,94097,0102295991
94100,0102296100,10,Cows,2012-01-01,,94082,0102295100
94101,0102296100,80,For slaughter,2012-01-01,,94100,0102296100
94102,0102296900,80,Other,2012-01-01,,94100,0102296100
94103,0102296910,80,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",2012-01-01,,94102,0102296900
94104,0102296920,80,Of the Schwyz and Fribourg breeds,2012-01-01,,94102,0102296900
94105,0102296930,80,Of the spotted Simmental breed,2012-01-01,,94102,0102296900
94106,0102296990,80,Other,2012-01-01,,94102,0102296900
94118,0102299100,10,Other,2012-01-01,,94082,0102295100
94119,0102299100,80,For slaughter,2012-01-01,,94118,0102299100
94120,0102299110,80,"Not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg",2012-01-01,,94119,0102299100
94121,0102299190,80,Other,2012-01-01,,94119,0102299100
94122,0102299900,80,Other,2012-01-01,,94118,0102299100
